Sample ID,Filename,Duration (s),Max Amplitude,Mean Amplitude,Std Amplitude,Mean RMS Energy,Std RMS Energy,Max RMS Energy,Mean Pitch (Hz),Std Pitch (Hz),Min Pitch (Hz),Max Pitch (Hz),Pitch Range (Hz),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Flatness,Spectral Rolloff (Hz),Zero Crossing Rate,Formant F1 (Hz),Formant F2 (Hz),Formant F3 (Hz),Formant F4 (Hz),MFCC 1 Mean,MFCC 2 Mean,MFCC 3 Mean,MFCC 4 Mean,MFCC 5 Mean,MFCC 6 Mean,MFCC 7 Mean,MFCC 8 Mean,MFCC 9 Mean,MFCC 10 Mean,MFCC 11 Mean,MFCC 12 Mean,MFCC 13 Mean
1,Angry.m4a,6.505333333333334,0.91690063,0.06980921,0.102852516,0.084262386,0.09137093,0.46038595,269.5854907185229,61.21780454569888,102.63362906904881,415.30469757994507,312.67106851089625,3182.216822903369,3511.548476357572,0.00057329604,6416.150102459016,0.06976978739754099,347.3973,3589.105,8435.754,12255.981,-276.17896,111.345924,0.12415907,25.603704,-2.7889817,15.278557,-16.583607,-7.051934,-5.3552084,-0.7782918,-13.034028,-0.697335,-4.904741
2,Authorative.m4a,7.828,0.8329773,0.081458,0.10607938,0.0979233,0.09108354,0.41591415,248.5521933966203,34.142830982782655,182.87233715141332,378.64263238750516,195.77029523609184,3326.609082112579,3525.7818291292056,0.00071175105,6531.17549386921,0.08179575740803814,536.64856,5353.9673,8986.1045,12436.456,-268.10876,115.4858,-0.75565714,25.64888,-10.462541,20.01184,-15.898969,-9.031227,-7.7222,3.7146487,-12.53673,-1.6394368,-4.612457
3,Calm.m4a,7.102666666666667,0.41760254,0.047595292,0.05680137,0.057816748,0.046345383,0.1974383,250.54686544994746,41.56894522436857,191.5211239251473,396.5502035487653,205.029079623618,3465.936823322695,3658.061924473004,0.00073164835,7074.007601351352,0.0854543508352102,456.1872,4690.874,8675.619,12290.637,-283.97498,128.56755,-17.481945,36.560093,-13.370545,25.048166,-18.203375,-2.2352045,-7.6460996,3.8705325,-12.436046,1.7690266,-3.3993642
4,Curious.m4a,7.657333333333334,0.90167236,0.06652705,0.08172284,0.07921852,0.06947635,0.41762665,293.3972546774786,70.14134334347533,65.40639132514966,468.8642207165331,403.4578293913835,2911.736099335508,3323.7784649620235,0.00051385554,5887.578342618384,0.06355136881963788,532.8918,4330.0977,8391.388,11775.913,-282.19815,121.54925,-7.008342,23.946041,-7.8420806,13.7731,-10.755796,-5.7029824,-1.0504135,-2.2100046,-11.496095,1.9537318,-6.3874273
5,Dreamy.m4a,10.004,0.88879395,0.07075249,0.0915844,0.085482664,0.07800333,0.41424423,272.983384902166,75.19144585106842,65.40639132514966,514.2619893669481,448.85559804179843,3450.7239446783683,3432.6350351767446,0.0005743727,6638.659381663113,0.09097804087819829,537.20233,5594.211,8463.203,12032.155,-266.54086,113.58974,-0.4717009,33.60698,-14.405011,12.245778,-11.19304,-5.70778,-4.0765057,-4.392225,-14.215036,5.5652514,-4.9533563
6,Excited.m4a,8.553333333333333,0.87698364,0.06726101,0.09371911,0.08230489,0.080815256,0.41463226,255.3557974507227,40.01213698170051,199.42369775418427,385.26118901858945,185.83749126440517,3330.5071459581422,3642.790673638305,0.0006734987,7004.568656483791,0.0753036841490025,584.7909,3934.266,8609.534,12441.933,-258.4588,117.91099,-7.1578517,22.649782,-8.295357,17.742367,-15.71358,-9.588289,-6.398972,0.9402989,-11.361138,0.9472956,-5.422541
7,Nostalgic.m4a,7.742666666666667,0.7548523,0.069821596,0.08516166,0.083836906,0.071392216,0.356531,269.7371441014761,68.35891429139248,192.63059450929475,678.5727631794939,485.9421686701992,3033.639358787297,3497.1895520674316,0.00040747705,6540.321539256199,0.06169561380853995,557.334,4641.6895,8487.189,12226.567,-266.36304,126.09374,-6.0236387,29.000269,-13.347617,16.801144,-12.561101,-4.733003,-4.734318,-3.2725976,-11.502241,4.2742233,-5.032003
8,Sad.m4a,9.662666666666667,0.48754883,0.039741874,0.050431278,0.048845153,0.04166909,0.19914946,231.3193883549859,19.312930249437265,200.5789474828077,304.0208335929107,103.44188611010301,3174.8831947608355,3568.8190893504952,0.0006244684,6609.737168874172,0.07544430360099338,468.69125,4315.3955,8518.46,12204.745,-290.77487,130.80997,-13.015914,31.555372,-9.792993,17.236841,-13.654413,0.76226723,-3.3371997,0.47290048,-11.041597,2.6533246,-4.0411143
9,Suprised.m4a,7.572,0.8894348,0.08194455,0.108081065,0.09792831,0.09382555,0.45678985,333.71334211142914,74.93975113868952,204.08500572708806,560.8066760204753,356.7216702933872,2986.0821980355017,3384.46097315821,0.00043821151,6024.031690140845,0.06270081426056338,572.0604,4606.213,8322.07,12500.066,-271.72794,117.69501,-3.3263,20.51546,-10.758851,14.443321,-15.39905,-8.669919,-5.987529,-3.328929,-10.465685,0.24334507,-7.4145646
10,Worried.m4a,8.02,0.58724976,0.045596853,0.056868795,0.05548881,0.047257185,0.2488034,221.949227704763,31.274780561517545,104.42763330455712,335.38934511626763,230.96171181171053,3144.5745259756227,3488.1698498516766,0.00053502206,6479.097406914893,0.07279611141123671,526.18414,5593.3,9083.204,12644.024,-293.03503,130.284,-6.5057654,34.02994,-13.906199,17.837053,-9.261441,-0.92895347,-6.7087746,-2.3102283,-9.704839,3.8810353,-4.3390303
