,Feature,Indira_Gandhi.mp3,Lalu_Yadav.mp3,Difference,Percent Difference (%)
0,zcr_mean,0.031407504515704496,0.054295632395380225,0.02288812787967573,72.87471014524928
1,zcr_std,0.011979184818228227,0.026488501853808643,0.014509317035580416,121.12107172352991
2,ste_mean,0.02493736892938614,0.026817234233021736,0.0018798653036355972,7.538346767425537
3,ste_std,0.039159633219242096,0.035257741808891296,-0.0039018914103507996,-9.964065551757812
4,mfcc1_mean,-267.9905090332031,-201.5164031982422,66.47410583496094,24.804649353027344
5,mfcc2_mean,170.7237548828125,154.94204711914062,-15.781707763671875,-9.244002342224121
6,mfcc3_mean,27.741132736206055,-47.206573486328125,-74.94770812988281,-270.16815185546875
7,mfcc4_mean,-12.236918449401855,21.505788803100586,33.742706298828125,275.7451171875
8,mfcc5_mean,-10.741768836975098,-7.395786285400391,3.345982551574707,31.14927101135254
9,mfcc6_mean,9.943450927734375,-11.252412796020508,-21.195863723754883,-213.1640625
10,mfcc7_mean,0.26247352361679077,2.559886932373047,2.2974133491516113,875.2933349609375
11,mfcc8_mean,-4.480705261230469,-7.255140781402588,-2.774435520172119,-61.91961669921875
12,mfcc9_mean,-12.785506248474121,5.035886764526367,17.821392059326172,139.387451171875
13,mfcc10_mean,-0.31839749217033386,-7.588461399078369,-7.270063877105713,-2283.32958984375
14,mfcc11_mean,-2.38130259513855,-2.965930461883545,-0.5846278667449951,-24.55076026916504
15,mfcc12_mean,-1.8371715545654297,-1.9754747152328491,-0.13830316066741943,-7.528048038482666
16,mfcc13_mean,-7.7933454513549805,-5.689788818359375,2.1035566329956055,26.9917049407959
17,mfcc1_std,30.83696746826172,67.19294738769531,36.355979919433594,117.89739227294922
18,mfcc2_std,20.76645278930664,29.357542037963867,8.591089248657227,41.37003707885742
19,mfcc3_std,15.708157539367676,39.33023452758789,23.62207794189453,150.38095092773438
20,mfcc4_std,16.17177391052246,19.357051849365234,3.1852779388427734,19.6965274810791
21,mfcc5_std,13.057238578796387,18.863426208496094,5.806187629699707,44.467193603515625
22,mfcc6_std,8.053715705871582,15.485719680786133,7.432003974914551,92.28043365478516
23,mfcc7_std,9.62283706665039,11.009628295898438,1.3867912292480469,14.411458015441895
24,mfcc8_std,10.703824996948242,13.002723693847656,2.298898696899414,21.47735595703125
25,mfcc9_std,8.49117660522461,11.40123462677002,2.91005802154541,34.27155303955078
26,mfcc10_std,7.643624305725098,9.30153751373291,1.6579132080078125,21.69014549255371
27,mfcc11_std,8.537468910217285,9.243285179138184,0.7058162689208984,8.267277717590332
28,mfcc12_std,7.660262107849121,9.056574821472168,1.3963127136230469,18.228002548217773
29,mfcc13_std,6.977922439575195,8.851170539855957,1.8732481002807617,26.845355987548828
